Editor ID;Form ID;Count;Users;Name;Script;Water Type;Model;Size;Quest Object
DefaultAshPile1;0000001B;2;0;Ash Pile;TTWAshPileFixScript;;Effects\AshPile01.NIF;83;No
DefaultAshPile2;00000022;0;0;Goo Pile;TTWAshPileFixScript;;Effects\GooPile01.NIF;88;No
VLightFlicker02;00003AA4;1;0;;;;Dungeons\Vault\Lights\VLightFlicker02.NIF;64;No
VGearDoor01;000041E9;1;0;;;;Dungeons\Vault\RoomU\VGearDoor01.NIF;528;No
Console01;000041F2;110;0;;;;Clutter\Consoles\Console01.NIF;80;No
DrinkToilet01Avg;00014AB3;106;1;Toilet;;d3AverageWater6r24h;Clutter\Bathroom\Toilet01.NIF;60;No
VLight01;00014D5F;42;0;;;;Dungeons\Vault\Lights\VLight01.NIF;73;No
VLight02;00014D60;114;0;;;;Dungeons\Vault\Lights\VLight02.NIF;64;No
DrinkTowerPipe00Rads;0001566B;1;1;Water Tower Valve;;d5TerribleWater20r4h;Architecture\Wasteland\WaterTowerPipes01.NIF;199;No
VRmOverseerDeskR01;0001847D;3;0;;;;Dungeons\VaultRuined\Room\VRmOverseerDeskR01.NIF;245;No
DrinkWaterfountain01Avg;0001E017;28;0;Water Fountain;;d3AverageWater6r24h;Clutter\Office\WaterCooler01.NIF;53;No
DrinkSink00Rads;0001E75F;17;0;Sink;;d5TerribleWater20r4h;clutter\bathroom\sink01.nif;52;No
DrinkToilet00Rads;0001E766;53;0;Toilet;;d5TerribleWater20r4h;clutter\bathroom\toilet01.nif;60;No
ComputerRack01;0001EDBF;38;0;;;;Clutter\Consoles\ComputerRack01.NIF;96;No
TapeMachine01;0001F534;119;0;;;;Clutter\Consoles\TapeMachine01.NIF;93;No
ProtectronPod01;0001F955;102;0;;ProtectronPod01Script;;Clutter\ProtectronPod\ProtectronPod01.NIF;134;No
ElectricBox01;00020D31;188;0;;;;Clutter\ElectricBox\ElectricBox1.NIF;122;No
DrinkSink01Avg;00020D6F;445;1;Sink;;d3AverageWater6r24h;Clutter\Bathroom\Sink01.NIF;52;No
FireExtinguisher;00020D70;566;0;;TTWFireExtinguisherScript;;Clutter\FireExtinguisher\FireExtinguisher01.NIF;25;No
DrinkFireHydrant;00020D72;101;1;Fire Hydrant;;d3AverageWater6r24h;Architecture\Urban\StreetDressing\FireHydrant01.NIF;80;No
DrinkFireHydrantClean;00020D73;3;1;Fire Hydrant;;d1PurifiedWater0r30h;Architecture\Urban\StreetDressing\FireHydrantClean01.NIF;80;No
VACUnit;00021F10;79;0;;;;Dungeons\Vault\Accessories\VACUnit.NIF;72;No
TransformerVault01;00022D4A;28;0;;;;Dungeons\Vault\Accessories\TransformerVault01.NIF;210;No
TrapGrenadeBunch;00026FB3;98;1;Grenade Bouquet;TrapGrenadeBunchSCRIPT;;Traps\GrenadeBouquet01.NIF;65;No
Automat01;0002796F;65;0;Eat'o'tronic 3000;AutomatScript01;;Architecture\Urban\StreetDressing\Automat01.NIF;102;No
Generator;000281A8;294;0;;;;Clutter\ElectricBox\Generator01.NIF;41;No
TrapBearTrap;00028666;117;2;Bear Trap;trapBearTrapScript;;Traps\BearTrap01.NIF;59;No
TrapGasCloudTrigger;000286C8;4;0;;TrapGasCloudTriggerSCRIPT;;;0;No
